,жилая площадь,ремонт,этажей в доме,отделка,количество комнат,площадь кухни,мебель,санузел,высота потолков,парковка,тип дома,"корпус, строение",двор,общая площадь,официальный застройщик,запланирован снос,год постройки,тип участия,грузовой лифт,способ продажи,этаж,срок сдачи,тёплый пол,окна,вид сделки,пассажирский лифт,балкон или лоджия,техника,в доме,название новостройки,тип комнат,position,price
2611, 42 м², косметический, 18,, 3, 10 м²," кухня, хранение одежды, спальные места", раздельный, 2.8 м," наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе", кирпичный,," закрытая территория, детская площадка, спортивная площадка", 69.8 м²,,, 2009,, 1, свободная, 16 из 18,,, во двор, возможна ипотека, 1," балкон, лоджия"," кондиционер, стиральная машина, водонагреватель",,, изолированные,1000000,7399000
2612,, евро, 5,, 2, 7 м²,, раздельный,, открытая во дворе, панельный,," детская площадка, спортивная площадка", 44 м²,,,,,, свободная, 3 из 5,,," во двор, на улицу, на солнечную сторону", возможна ипотека,, балкон,, газ,, изолированные,6,5300000
2613,, косметический, 10,, 1, 12 м²,," совмещенный, раздельный",, открытая во дворе, панельный,," детская площадка, спортивная площадка", 38 м²,,,,,, свободная, 10 из 10,,, во двор,,, балкон,,,,,31,4949000
2614,, косметический, 5,, 4, 7 м², кухня, раздельный,, открытая во дворе, блочный,," детская площадка, спортивная площадка", 59 м²,,, 1971,,, свободная, 2 из 5,,," во двор, на улицу, на солнечную сторону",,, балкон,, газ,," изолированные, смежные",11,5950000
2615, 19.6 м², евро, 6,, 1, 9.2 м²," кухня, хранение одежды, спальные места", совмещенный,, подземная, монолитный,," закрытая территория, детская площадка, спортивная площадка", 43 м²,,, 2019,, 1, свободная, 3 из 6,,, на улицу, возможна ипотека, 1, балкон," холодильник, стиральная машина", газ,,,11,7400000
2616, 35.8 м², евро, 16,, 2, 11.7 м²,, раздельный,,, монолитный,,, 64.1 м²,,, 2009,,, свободная, 5 из 16,,, во двор, возможна ипотека, 2, балкон,,,, изолированные,6,8100000
2617, 15.9 м², косметический, 9,, 1, 6.8 м²,, совмещенный,,, кирпичный,,, 33.2 м²,,,,,, свободная, 6 из 9,,, во двор, возможна ипотека, 1, балкон,,,,,16,4199000
2618,, евро, 3,, 1, 11.5 м²," кухня, хранение одежды", совмещенный,, за шлагбаумом во дворе, панельный,," закрытая территория, детская площадка, спортивная площадка", 48.4 м²,,,,, нет, свободная, 3 из 3,,," во двор, на улицу", возможна ипотека, нет,, кондиционер,,,,1000000,3900000
2619,, требует ремонта, 19,, 3, 12.5 м²,,,,, монолитный,,, 75.3 м²,,,,,, свободная, 11 из 19,,,, возможна ипотека,, балкон,,,, изолированные,1000000,7750000
2620, 45 м², дизайнерский, 24,, 2, 14 м²,, раздельный,,, монолитный,,, 72.5 м²,,, 2016,,, свободная, 15 из 24,,, на улицу, возможна ипотека,,,,,, изолированные,5,17390000
2621,, требует ремонта, 18,, 1, 13.7 м²,, совмещенный, 2.8 м,, монолитный,,, 42.4 м²,,, 2021,, 1, свободная, 15 из 18,,, на солнечную сторону, возможна ипотека, 1, лоджия,,,,,11,6970000
2622, 25.5 м², евро, 9,, 2, 9 м²," кухня, хранение одежды, спальные места", совмещенный, 2.6 м, наземная многоуровневая, кирпичный,," закрытая территория, детская площадка, спортивная площадка", 50.3 м²,,, 2015,, 1, свободная, 8 из 9,, есть," на улицу, на солнечную сторону",,, лоджия," холодильник, стиральная машина", газ,, изолированные,11,9990000
2623, 19 м², евро, 5,, 1, 5.4 м²," кухня, хранение одежды, спальные места", совмещенный, 2.5 м, открытая во дворе, панельный,," детская площадка, спортивная площадка", 32 м²,,, 1968,, нет, свободная, 4 из 5,,, во двор, возможна ипотека, нет, балкон, стиральная машина, газ,,,16,4450000
2624, 42 м², требует ремонта, 10,, 3, 10 м²,, раздельный, 240 м, открытая во дворе, панельный,," детская площадка, спортивная площадка", 65 м²,,, 1999,, нет, свободная, 8 из 10,,, во двор,, 1, лоджия,, газ,, изолированные,1000000,6500000
2625, 20 м², евро, 16,, 1, 14.9 м²," кухня, хранение одежды, спальные места", совмещенный, 2.8 м," наземная многоуровневая, открытая во дворе", кирпичный,," закрытая территория, детская площадка, спортивная площадка", 46.7 м²,,, 2008,, 1, свободная, 9 из 16,,, на улицу, возможна ипотека, 1, балкон, кондиционер,,,,11,5600000
